primary_city,state,county
boston,MA,suffolk county
boston,MA,suffolk county
east boston,MA,suffolk county
cambridge,MA,middlesex county
cambridge,MA,middlesex county
boston,MA,suffolk county
boston,MA,suffolk county
quincy,MA,norfolk county
boston,MA,suffolk county
boston,MA,suffolk county
boston,MA,suffolk county
boston,MA,suffolk county
boston,MA,suffolk county
boston,MA,suffolk county
brockton,MA,plymouth county
brockton,MA,plymouth county
brockton,MA,plymouth county
brockton,MA,plymouth county
brockton,MA,plymouth county
avon,MA,norfolk county
bridgewater,MA,plymouth county
bridgewater,MA,plymouth county
bryantville,MA,plymouth county
carver,MA,plymouth county
duxbury,MA,plymouth county
duxbury,MA,plymouth county
east bridgewater,MA,plymouth county
easton,MA,bristol county
elmwood,MA,plymouth county
halifax,MA,plymouth county
hanover,MA,plymouth county
hanover,MA,plymouth county
hanson,MA,plymouth county
holbrook,MA,norfolk county
middleboro,MA,plymouth county
manomet,MA,plymouth county
middleboro,MA,plymouth county
lakeville,MA,plymouth county
lakeville,MA,plymouth county
middleboro,MA,plymouth county
monponsett,MA,plymouth county
abington,MA,plymouth county
north carver,MA,plymouth county
north easton,MA,bristol county
north easton,MA,bristol county
north pembroke,MA,plymouth county
pembroke,MA,plymouth county
plymouth,MA,plymouth county
plymouth,MA,plymouth county
plymouth,MA,plymouth county
kingston,MA,plymouth county
south carver,MA,plymouth county
plympton,MA,plymouth county
randolph,MA,norfolk county
rockland,MA,plymouth county
south easton,MA,bristol county
west bridgewater,MA,plymouth county
white horse beach,MA,plymouth county
whitman,MA,plymouth county
lexington,MA,middlesex county
lexington,MA,middlesex county
brookline,MA,norfolk county
brookline,MA,norfolk county
brookline village,MA,norfolk county
waltham,MA,middlesex county
waltham,MA,middlesex county
waltham,MA,middlesex county
waltham,MA,middlesex county
north waltham,MA,middlesex county
new town,MA,middlesex county
babson park,MA,norfolk county
newton,MA,middlesex county
newton center,MA,middlesex county
newtonville,MA,middlesex county
newton highlands,MA,middlesex county
newton lower falls,MA,middlesex county
newton upper falls,MA,middlesex county
west newton,MA,middlesex county
auburndale,MA,middlesex county
chestnut hill,MA,norfolk county
waban,MA,middlesex county
watertown,MA,middlesex county
watertown,MA,middlesex county
arlington,MA,middlesex county
arlington heights,MA,middlesex county
arlington,MA,middlesex county
watertown,MA,middlesex county
belmont,MA,middlesex county
waverley,MA,middlesex county
wellesley hills,MA,norfolk county
wellesley,MA,norfolk county
needham,MA,norfolk county
weston,MA,middlesex county
needham heights,MA,norfolk county
nonantum,MA,middlesex county
buzzards bay,MA,barnstable county
cataumet,MA,barnstable county
chilmark,MA,dukes county
east falmouth,MA,barnstable county
east sandwich,MA,barnstable county
east wareham,MA,plymouth county
edgartown,MA,dukes county
falmouth,MA,barnstable county
falmouth,MA,barnstable county
buzzards bay,MA,barnstable county
woods hole,MA,barnstable county
menemsha,MA,dukes county
monument beach,MA,barnstable county
nantucket,MA,nantucket county
north falmouth,MA,barnstable county
oak bluffs,MA,dukes county
onset,MA,plymouth county
pocasset,MA,barnstable county
sagamore,MA,barnstable county
sagamore beach,MA,barnstable county
sandwich,MA,barnstable county
siasconset,MA,nantucket county
silver beach,MA,barnstable county
vineyard haven,MA,dukes county
wareham,MA,plymouth county
west chop,MA,dukes county
west falmouth,MA,barnstable county
west tisbury,MA,dukes county
west wareham,MA,plymouth county
nantucket,MA,nantucket county
hyannis,MA,barnstable county
barnstable,MA,barnstable county
brewster,MA,barnstable county
centerville,MA,barnstable county
chatham,MA,barnstable county
centerville,MA,barnstable county
cotuit,MA,barnstable county
centerville,MA,barnstable county
cummaquid,MA,barnstable county
dennis,MA,barnstable county
dennis port,MA,barnstable county
east dennis,MA,barnstable county
eastham,MA,barnstable county
east orleans,MA,barnstable county
forestdale,MA,barnstable county
harwich,MA,barnstable county
harwich port,MA,barnstable county
hyannis port,MA,barnstable county
marstons mills,MA,barnstable county
mashpee,MA,barnstable county
north chatham,MA,barnstable county
north eastham,MA,barnstable county
north truro,MA,barnstable county
orleans,MA,barnstable county
osterville,MA,barnstable county
provincetown,MA,barnstable county
south chatham,MA,barnstable county
south dennis,MA,barnstable county
south harwich,MA,barnstable county
south orleans,MA,barnstable county
south wellfleet,MA,barnstable county
south yarmouth,MA,barnstable county
truro,MA,barnstable county
wellfleet,MA,barnstable county
west barnstable,MA,barnstable county
west chatham,MA,barnstable county
west dennis,MA,barnstable county
west harwich,MA,barnstable county
west hyannisport,MA,barnstable county
west yarmouth,MA,barnstable county
yarmouth port,MA,barnstable county
assonet,MA,bristol county
attleboro,MA,bristol county
chartley,MA,bristol county
cuttyhunk,MA,dukes county
dartmouth,MA,bristol county
dighton,MA,bristol county
east freetown,MA,bristol county
east taunton,MA,bristol county
fairhaven,MA,bristol county
fall river,MA,bristol county
fall river,MA,bristol county
fall river,MA,bristol county
fall river,MA,bristol county
fall river,MA,bristol county
somerset,MA,bristol county
somerset,MA,bristol county
marion,MA,plymouth county
mattapoisett,MA,plymouth county
new bedford,MA,bristol county
new bedford,MA,bristol county
new bedford,MA,bristol county
acushnet,MA,bristol county
new bedford,MA,bristol county
new bedford,MA,bristol county
new bedford,MA,bristol county
north dartmouth,MA,bristol county
south dartmouth,MA,bristol county
north attleboro,MA,bristol county
north attleboro,MA,bristol county
