state,county,poverty_pct,med_income
CO,prowers county,20.9,39184
CO,pueblo county,19,41382
CO,rio blanco county,10.9,63184
CO,rio grande county,18.3,40593
CO,routt county,8.4,66846
CO,saguache county,29.9,31227
CO,san juan county,15.5,40006
CO,san miguel county,9.9,59603
CO,sedgwick county,13.9,44562
CO,summit county,9.7,68352
CO,teller county,9.5,62380
CO,washington county,11.4,45784
CO,weld county,10.5,61501
CO,yuma county,14,46838
CT,connecticut,10.8,70007
CT,fairfield county,9,85336
CT,hartford county,12.2,65809
CT,litchfield county,7.7,73413
CT,middlesex county,7.9,76365
CT,new haven county,13,60387
CT,new london county,11.1,65813
CT,tolland county,7.5,78653
CT,windham county,10.3,57547
DE,delaware,13,59853
DE,kent county,14.1,54271
DE,new castle county,12.3,64632
DE,sussex county,13.9,53316
DC,district of columbia,18.4,69992
DC,district of columbia,18.4,69992
FL,florida,16.6,47439
FL,alachua county,21.6,44325
FL,baker county,19.6,47121
FL,bay county,15.6,44800
FL,bradford county,22.6,39980
FL,brevard county,14.5,47973
FL,broward county,14.5,51485
FL,calhoun county,22.3,35256
FL,charlotte county,11.9,43242
FL,citrus county,20.1,36383
FL,clay county,10.9,58539
FL,collier county,14.3,58403
FL,columbia county,21.7,38484
FL,desoto county,29.7,36945
FL,dixie county,27.1,32121
FL,duval county,18.2,46013
FL,escambia county,15.3,46139
FL,flagler county,11.6,51556
FL,franklin county,25.3,36788
FL,gadsden county,25.6,35849
FL,gilchrist county,19.8,40788
FL,glades county,21.1,38783
FL,gulf county,23.1,38419
FL,hamilton county,31.7,31734
FL,hardee county,29.9,35371
FL,hendry county,25.3,38494
FL,hernando county,15.3,40094
FL,highlands county,19.5,35787
FL,hillsborough county,16.8,50758
FL,holmes county,26.7,35651
FL,indian river county,14.7,47548
FL,jackson county,24.3,36876
FL,jefferson county,18,40205
FL,lafayette county,25.6,38071
FL,lake county,13.8,46895
FL,lee county,16,49147
FL,leon county,23.3,45463
FL,levy county,21.2,37433
FL,liberty county,24.7,38473
FL,madison county,27.7,33017
FL,manatee county,14.1,51673
FL,marion county,17.8,39860
FL,martin county,12.1,55472
FL,miami-dade county,20.4,42754
FL,monroe county,14,57411
FL,nassau county,11.7,56728
FL,okaloosa county,12.4,55952
