state,county,educ_pct
georgia,stephens county,82.1
georgia,stewart county,61.9
georgia,sumter county,76.7
georgia,talbot county,76.7
georgia,taliaferro county,66.3
georgia,tattnall county,74.8
georgia,taylor county,74.6
georgia,telfair county,74.3
georgia,terrell county,68.4
georgia,thomas county,80.6
georgia,tift county,78.5
georgia,toombs county,80
georgia,towns county,88.7
georgia,treutlen county,76.9
georgia,troup county,83.5
georgia,turner county,73.9
georgia,twiggs county,68.8
georgia,union county,85.8
georgia,upson county,76.5
georgia,walker county,79.6
georgia,walton county,84.3
georgia,ware county,81.4
georgia,warren county,70.4
georgia,washington county,76.1
georgia,wayne county,81.5
georgia,webster county,77.2
georgia,wheeler county,73.1
georgia,white county,85.9
georgia,whitfield county,68.5
georgia,wilcox county,76.1
georgia,wilkes county,77.8
georgia,wilkinson county,80.4
georgia,worth county,74.2
hawaii,hawaii,90.7
hawaii,hawaii county,91
hawaii,honolulu county,90.7
hawaii,kalawao county,82.1
hawaii,kauai county,91
hawaii,maui county,90.6
idaho,idaho,89.1
idaho,ada county,93.8
idaho,adams county,92.2
idaho,bannock county,91.6
idaho,bear lake county,92.7
idaho,benewah county,86
idaho,bingham county,84.4
idaho,blaine county,90.2
idaho,boise county,91.1
idaho,bonner county,91.6
idaho,bonneville county,91
idaho,boundary county,88
idaho,butte county,90
idaho,camas county,83.7
idaho,canyon county,82.9
idaho,caribou county,88.8
idaho,cassia county,78.8
idaho,clark county,78
idaho,clearwater county,85.7
idaho,custer county,89.9
idaho,elmore county,85.1
idaho,franklin county,90.7
idaho,fremont county,88.5
idaho,gem county,86.5
idaho,gooding county,77
idaho,idaho county,89.8
idaho,jefferson county,89.7
idaho,jerome county,70.6
idaho,kootenai county,92.1
idaho,latah county,95.8
idaho,lemhi county,92.2
idaho,lewis county,88.5
idaho,lincoln county,76.9
idaho,madison county,95.1
idaho,minidoka county,75.9
idaho,nez perce county,90.5
idaho,oneida county,94.1
idaho,owyhee county,74.3
idaho,payette county,85.4
idaho,power county,79.9
idaho,shoshone county,84.8
idaho,teton county,88.3
idaho,twin falls county,84.8
idaho,valley county,92.9
idaho,washington county,82.2
illinois,illinois,87.6
illinois,adams county,90.2
illinois,alexander county,74.1
illinois,bond county,86.3
illinois,boone county,86.4
illinois,brown county,81.6
illinois,bureau county,90.2
illinois,calhoun county,89.5
illinois,carroll county,89.5
illinois,cass county,85
illinois,champaign county,93.6
illinois,christian county,88.2
illinois,clark county,89.7
illinois,clay county,87.3
illinois,clinton county,89.1
illinois,coles county,89.5
illinois,cook county,84.8
illinois,crawford county,89
illinois,cumberland county,87.7
illinois,dekalb county,91.7
illinois,de witt county,92.8
illinois,douglas county,83.7
illinois,dupage county,92.3
illinois,edgar county,86.9
illinois,edwards county,87.5
illinois,effingham county,91.3
illinois,fayette county,84
illinois,ford county,88.6
illinois,franklin county,86.4
illinois,fulton county,87.5
illinois,gallatin county,81.9
illinois,greene county,87.1
illinois,grundy county,92
illinois,hamilton county,86.8
illinois,hancock county,90.9
illinois,hardin county,81.8
illinois,henderson county,89.5
illinois,henry county,89.1
illinois,iroquois county,88.1
illinois,jackson county,90.6
illinois,jasper county,90.8
illinois,jefferson county,86.1
illinois,jersey county,90.8
illinois,jo daviess county,91.7
illinois,johnson county,83.7
illinois,kane county,83
illinois,kankakee county,86.8
illinois,kendall county,92.9
illinois,knox county,86.9
illinois,lake county,89.2
illinois,lasalle county,88.6
illinois,lawrence county,77.4
illinois,lee county,88.1
illinois,livingston county,86.6
illinois,logan county,86.6
illinois,mcdonough county,92
illinois,mchenry county,92.2
illinois,mclean county,94.7
illinois,macon county,88.7
illinois,macoupin county,88.9
illinois,madison county,91.4
illinois,marion county,86.9
illinois,marshall county,91.3
illinois,mason county,86.5
illinois,massac county,82.8
illinois,menard county,92.4
illinois,mercer county,90.4
illinois,monroe county,93.5
illinois,montgomery county,85.3
illinois,morgan county,89.4
illinois,moultrie county,84.6
illinois,ogle county,89
illinois,peoria county,90.1
illinois,perry county,85
illinois,piatt county,93.5
illinois,pike county,87.4
illinois,pope county,86.4
illinois,pulaski county,81.1
illinois,putnam county,89.5
illinois,randolph county,83.7
illinois,richland county,89.7
illinois,rock island county,87.8
illinois,st  clair county,89.7
illinois,saline county,85.4
illinois,sangamon county,92.5
illinois,schuyler county,87.4
illinois,scott county,89
illinois,shelby county,90.3
illinois,stark county,87.7
illinois,stephenson county,90
illinois,tazewell county,92.5
illinois,union county,84.5
illinois,vermilion county,86.3
